Time Step,Label Index,Name (NA),Dist_2-rKRT-by-DSM (nm),Dist_1-rKRT-by-DSM (nm),Dist_0-rKRT-by-DSM (nm),Dist_0-rKRT-by-face (nm),Dist_1-rKRT-by-face (nm),Voxel count,Volume (nm³),Min Feret Diameter (nm),Mean Feret Diameter (nm),Max Feret Diameter (nm),Surface Area (Lindblad 2005) (nm²)
0,1,,170.08233044180088,317.38935035718896,982.3563686950365,382.1203904408321,170.08233044180088,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,2,,192.91448438707448,910.3932825382799,3667.8582091553835,910.3932825382799,192.91448438707448,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,3,,280.3711822707555,1796.0401237360202,2736.505848588422,1796.0401237360202,280.3711822707555,1.0,64.00000000000001,3.9999576983973384,5.895641654482932,6.92817786392917,81.408
0,4,,618.5919687595742,677.4776579732134,99.51884294423508,99.51884294423508,618.5919687595742,1.0,64.00000000000001,3.9999576983973384,5.895641654482932,6.92817786392917,81.408
0,5,,338.32526469268487,887.9639494807634,1621.6239373534336,906.8097597264568,338.32526469268487,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,6,,361.2201737723808,832.2788289660821,1658.365476941981,861.7563480584067,361.2201737723808,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,7,,24.331049175430053,1400.7426898388076,1059.720716511947,1059.720716511947,24.331049175430053,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,8,,1789.6770714287413,168.6179018633993,455.05166212933545,196.65198180973675,168.6179018633993,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,9,,113.56056006661674,1065.795458998764,3494.8327538586454,1065.795458998764,113.56056006661674,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,10,,174.08044072908524,1335.053525508556,1055.7423593127169,1055.7423593127169,174.08044072908524,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,11,,1745.4214003009838,1252.0766858870047,1155.3423746590852,1155.3423746590852,1280.2750006812857,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
0,12,,536.5519655242679,942.7619147572841,1959.6775473473826,942.7619147572841,536.5519655242679,1.0,64.00000000000001,3.9999576983973384,5.895641654482932,6.92817786392917,81.408
0,13,,1569.7592061769683,2213.3920083433622,3044.1708531725453,2239.764171463321,1569.7592061769683,1.0,64.00000000000001,3.9999576983973384,5.895479234891464,6.9280474970431385,81.408
