Time Step,Label Index,Name (NA),2-rKRT-by-DSM (nm),1-rKRT-by-DSM (nm),0-rKRT-by-DSM (nm),0-rKRT-by-face (nm),1-rKRT-by-face (nm),Voxel count,Volume (nm³),Min Feret Diameter (nm),Mean Feret Diameter (nm),Max Feret Diameter (nm),Surface Area (Lindblad 2005) (nm²),Cell
0,57,,209.6473111,1321.841182,977.7033938,977.7033938,209.6473111,14,896,3.999957698,13.88747318,21.76943745,535.424,B
0,58,,259.9692266,2286.170684,2453.229627,2286.170684,259.9692266,14,896,8.981512089,18.85865627,26.92580834,752.384,B
0,59,,407.5487823,2643.373591,2168.450237,2168.450237,407.5487823,16,1024,4.000185072,16.88548128,29.11709176,624.736,B
0,60,,34.64101539,1232.902264,3284.133982,1232.902264,34.64101539,19,1216,9.80943655,29.43926777,35.32432312,798.848,B
0,61,,2176.139787,158.4424183,56.14267451,56.14267451,158.4424183,21,1344,7.213277292,17.52896918,29.11796978,943.36,B
0,62,,461.059642,698.2721175,629.8444077,629.8444077,461.059642,22,1408,4.000071385,17.16645835,26.92636589,803.776,B
0,63,,243.3762347,2172.721906,2526.914386,2172.721906,243.3762347,23,1472,8.00014277,20.90837093,33.18523825,940.768,B
0,64,,267.3125721,1534.447165,797.8872532,797.8872532,267.3125721,24,1536,8.00014277,21.92689096,35.03257686,956.928,B
0,65,,6064.560694,6817.12072,5556.064934,5556.064934,6064.560694,25,1600,3.999957698,19.61517775,32.97906181,918.016,B
0,66,,34.4093003,1410.934487,1013.177211,1013.177211,34.4093003,31,1984,9.004880338,28.66189493,60.83487266,1456.768,B
0,67,,447.5354842,1145.607257,1366.677679,1145.607257,447.5354842,35,2240,7.21348113,24.11958138,48.66046552,1477.024,B
0,68,,2300.0905,2891.125632,3003.813617,2915.870937,2300.0905,36,2304,11.9998731,57.17400218,69.39593833,1624.192,B
0,69,,191.5828847,1453.767595,789.5821454,789.5821454,191.5828847,46,2944,25.45621803,37.35466492,49.75094433,2337.936,B
0,70,,117.3712079,1024.15629,3500.790854,1024.15629,117.3712079,50,3200,9.53700267,23.90460083,48.16632955,2036.192,B
0,71,,515.2863309,2135.794148,102.8396781,102.8396781,515.2863309,73,4672,10.82222204,35.01259194,53.4270907,2748.416,B
